round,prefix,num_all_clients,num_detected_poison,num_true_poison,TP,FP,FN,TN,precision,recall,f1,false_positive_rate
1,data_poison,200,30,40,7,23,33,137,0.23333333333333334,0.175,0.2,0.14375
2,data_poison,200,50,40,14,36,26,124,0.28,0.35,0.3111111111111111,0.225
3,data_poison,200,52,40,16,36,24,124,0.3076923076923077,0.4,0.34782608695652173,0.225
4,data_poison,200,54,40,15,39,25,121,0.2777777777777778,0.375,0.3191489361702128,0.24375
5,data_poison,200,63,40,18,45,22,115,0.2857142857142857,0.45,0.3495145631067961,0.28125
6,data_poison,200,63,40,20,43,20,117,0.31746031746031744,0.5,0.3883495145631068,0.26875
7,data_poison,200,68,40,19,49,21,111,0.27941176470588236,0.475,0.35185185185185186,0.30625
8,data_poison,200,66,40,19,47,21,113,0.2878787878787879,0.475,0.3584905660377358,0.29375
9,data_poison,200,71,40,20,51,20,109,0.28169014084507044,0.5,0.36036036036036034,0.31875
10,data_poison,200,73,40,20,53,20,107,0.273972602739726,0.5,0.35398230088495575,0.33125
