round,TP,FP,FN,TN,Precision,Recall,F1,Accuracy
1,39,2,1,158,0.9512195121951219,0.975,0.9629629629629629,0.985
2,29,1,11,159,0.9666666666666667,0.725,0.8285714285714285,0.94
3,31,1,9,159,0.96875,0.775,0.8611111111111113,0.95
4,30,1,10,159,0.967741935483871,0.75,0.8450704225352113,0.945
5,36,1,4,159,0.972972972972973,0.9,0.935064935064935,0.975
6,31,2,9,158,0.9393939393939394,0.775,0.8493150684931509,0.945
7,39,2,1,158,0.9512195121951219,0.975,0.9629629629629629,0.985
8,38,4,2,156,0.9047619047619048,0.95,0.9268292682926829,0.97
9,39,5,1,155,0.8863636363636364,0.975,0.9285714285714285,0.97
10,40,6,0,154,0.8695652173913043,1.0,0.9302325581395349,0.97
